high,low,medium,listing_id
0.09248253,0.36131853,0.5461989,7142618
0.24386537,0.3683335,0.38780117,7210040
0.033931985,0.74543095,0.22063708,7174566
0.42680544,0.21161878,0.36157575,7191391
0.010416268,0.86316645,0.12641728,7171695
0.0027805532,0.8748636,0.12235581,7225206
0.016929017,0.54476213,0.43830884,7200075
0.20818588,0.37981403,0.4120001,7145074
0.0548125,0.50426954,0.44091797,7193645
0.0009984405,0.98760915,0.011392457,7147703
0.016892029,0.8312183,0.15188968,7182218
0.01068094,0.87147206,0.11784698,7132136
0.062395234,0.528601,0.4090038,7130670
0.0009698439,0.9778295,0.021200608,7151855
0.007764394,0.9207428,0.07149277,7158358
0.04753221,0.7563575,0.19611028,7221001
0.42164657,0.11896776,0.45938566,7100305
0.15978259,0.35601872,0.48419866,7096581
0.07436608,0.35410675,0.5715271,7177904
0.30954376,0.30903006,0.38142624,7122823
0.0020721173,0.97576106,0.022166776,7183502
0.04379354,0.5145933,0.44161314,7170627
0.11732187,0.57389885,0.30877927,7154826
0.0010490913,0.9806287,0.018322224,7155276
0.048345115,0.6842873,0.2673676,7126641
0.2107911,0.45147187,0.33773705,7096119
0.014223724,0.8876938,0.09808245,7197172
0.094656825,0.5832189,0.32212433,7189973
0.22994883,0.53874135,0.23130985,7123008
0.029067652,0.7596278,0.21130449,7146900
0.018123468,0.7448707,0.23700586,7109717
0.032363802,0.8349736,0.13266262,7129938
0.00047035125,0.9632651,0.03626446,7107178
0.021224093,0.8950069,0.08376904,7176321
0.05954287,0.67574763,0.2647095,7128745
0.12929612,0.38454387,0.48615992,7142399
0.016800353,0.8465247,0.13667493,7173397
0.24999677,0.30109823,0.44890496,7097445
0.0032237966,0.9619836,0.03479251,7176649
0.019264286,0.80828166,0.17245409,7217973
0.0593439,0.6748859,0.26577014,7181413
0.007036049,0.9111683,0.0817957,7131045
0.074037865,0.295813,0.6301491,7227600
0.00087472907,0.9853837,0.01374154,7152410
0.105185024,0.44676736,0.44804764,7164630
0.04334248,0.6198735,0.33678398,7233385
0.078105,0.5946337,0.3272613,7132168
0.0018548586,0.927081,0.07106412,7177475
0.0005087606,0.9866873,0.0128039345,7195866
0.0013639914,0.9920746,0.0065614223,7128348
0.07582926,0.3417771,0.58239365,7127663
0.005202157,0.92315894,0.07163889,7224803
0.056152593,0.5964848,0.34736264,7175018
0.11804113,0.30582124,0.5761376,7172595
0.026917761,0.8393667,0.13371556,7109912
0.36845908,0.28406498,0.34747598,7138297
0.031416837,0.810699,0.15788421,7092476
0.010383344,0.81413853,0.17547815,7089303
0.015588917,0.5267798,0.45763126,7125155
0.0070942156,0.9138015,0.07910434,7220062
0.046988416,0.60890484,0.34410673,7106449
0.08652866,0.6683054,0.24516599,7128225
0.00039740992,0.98785526,0.011747354,7195250
0.017087618,0.6045965,0.37831593,7218672
0.009283793,0.91394436,0.076771855,7196783
0.0441651,0.7991404,0.15669449,7103890
0.028878544,0.7257203,0.24540114,7091781
0.0016844305,0.97279197,0.025523605,7188560
0.19587827,0.37016577,0.433956,7158435
0.09551442,0.5587308,0.3457548,7174040
0.23500232,0.39039773,0.3745999,7090560
0.0007097224,0.9908983,0.008392046,7176342
